f1,tn,fp,fn,tp,threshold,model,params
0.8827586206896552,62,8,9,64,0.35000000000000003,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.37,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.39,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.41000000000000003,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.43,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.45,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.47000000000000003,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.49,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.51,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.53,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.55,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.5700000000000001,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.59,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.61,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.63,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.65,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.67,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.6900000000000001,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.7100000000000001,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.73,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.75,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.77,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.79,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.81,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.8300000000000001,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.85,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.87,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.89,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.91,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.93,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.9500000000000001,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.97,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.875,62,8,10,63,0.99,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
